date,Central_Bank_of_Argentina,Reserve_Bank_of_Australia,Central_Bank_of_Brazil,Bank_of_Canada,Swiss_National_Bank,Central_Bank_of_Chile,Peoples_Bank_of_China,Central_Bank_of_Colombia,Czech_National_Bank,Danmarks_Nationalbank,Bank_of_England,Hong_Kong_Monetary_Authority,Croatian_National_Bank,Hungarian_National_Bank,Bank_Indonesia,Bank_of_Israel,Reserve_Bank_of_India,Central_Bank_of_Iceland,Bank_of_Japan,Bank_of_Korea,National_Bank_of_the_Republic_of_Macedonia,Bank_of_Mexico,Bank_Negara_Malaysia_,Norges_Bank,Reserve_Bank_of_New_Zealand,Central_Reserve_Bank_of_Peru,Bangko_Sentral_ng_Pilipinas_,National_Bank_of_Poland,National_Bank_of_Romania_,National_Bank_of_Serbia,Bank_of_Russia,Saudi_Arabian_Monetary_Authority,Sveriges_Riksbank,Bank_of_Thailand,Central_Bank_of_the_Republic_of_Turkey,US_Federal_Reserve_System,European_Central_Bank,South_African_Reserve_Bank
2006-03-13,5.0,5.5,16.5,3.75,1.0,4.75,5.58,6.0,2.0,2.75,4.5,6.0,0.78,6.0,12.75,4.75,6.5,10.2,0.0,4.0,6.95,7.52,3.25,2.25,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.5,2.5,7.0
2006-03-14,5.0,5.5,16.5,3.75,1.0,4.75,5.58,6.0,2.0,2.75,4.5,6.0,0.75,6.0,12.75,4.75,6.5,10.2,0.0,4.0,6.95,7.51,3.25,2.25,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.5,2.5,7.0
2006-03-20,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.0,1.42,6.0,12.75,4.75,6.5,10.2,0.0,4.0,6.92,7.51,3.25,2.5,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.5,2.5,7.0
2006-03-22,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.0,1.98,6.0,12.75,4.75,6.5,10.2,0.0,4.0,6.52,7.51,3.25,2.5,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.5,2.5,7.0
2006-03-27,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.0,2.12,6.0,12.75,4.75,6.5,10.2,0.0,4.0,6.52,7.26,3.25,2.5,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.5,2.5,7.0
2006-03-28,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.0,1.85,6.0,12.75,4.75,6.5,10.2,0.0,4.0,6.52,7.26,3.25,2.5,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.75,2.5,7.0
2006-03-29,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.25,2.0,6.0,12.75,4.75,6.5,10.2,0.0,4.0,6.44,7.26,3.25,2.5,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.75,2.5,7.0
2006-04-03,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.25,1.5,6.0,12.75,5.0,6.5,10.87,0.0,4.0,6.44,7.26,3.25,2.5,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.75,2.5,7.0
2006-04-04,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.25,1.9,6.0,12.75,5.0,6.5,10.87,0.0,4.0,6.44,7.26,3.25,2.5,7.25,4.0,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.5,13.5,4.75,2.5,7.0
2006-04-12,5.0,5.5,16.5,3.75,1.25,4.75,5.58,6.0,2.0,2.75,4.5,6.25,1.94,6.0,12.75,5.0,6.5,10.87,0.0,4.0,6.29,7.25,3.25,2.5,7.25,4.25,7.5,4.0,8.5,8.5,12.0,5.0,2.0,4.75,13.5,4.75,2.5,7.0
