Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
Reference area,AR:Argentina,AU:Australia,BR:Brazil,CA:Canada,CH:Switzerland,CL:Chile,CN:China,CO:Colombia,CZ:Czech Republic,DK:Denmark,GB:United Kingdom,HK:Hong Kong SAR,HR:Croatia,HU:Hungary,ID:Indonesia,IL:Israel,IN:India,IS:Iceland,JP:Japan,KR:Korea,MK:North Macedonia,MX:Mexico,MY:Malaysia,NO:Norway,NZ:New Zealand,PE:Peru,PH:Philippines,PL:Poland,RO:Romania,RS:Serbia,RU:Russia,SA:Saudi Arabia,SE:Sweden,TH:Thailand,TR:Turkey,US:United States,XM:Euro area,ZA:South Africa
Time Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compilation,"From 08 Aug 2018: 7 Day Liquidity Bills (LELIQ); from 2 Jan 2017 to 07 Aug 2018: Middle of the corridor of repo rate; From 16 Dec 2015 to 1 Jan 2017: Central Bank issues at issue, 35 days; From 29 Jan 2014 to 15 Dec 2015: Central Bank issues, 3 months; From 11 Sep 2009 to 28 Jan 2014: Central Bank 7 day reverse repo operations; From 26 Feb 2007 to 10 Sep 2009:  Central Bank issues, closest to 1 year; From 14 Jun 2004 to 25 Feb 2007: Central Bank 7 day reverse repo operations; From 1 Apr 1993 to 13 Jun 2004: Money market 1-week interbank loan.",From 2 Aug 1990 onwards: cash rate target; from 23 Jan 1990 to 1 Aug 1990: middle of the cash rate target range; from 7 Apr 1976 to 22 Jan 1990: interbank overnight cash rate.,"From 5 Mar 1999 onwards Central Bank target, money market (SELIC) overnight rate; from 1 Jul 1996 to 4 Mar 1999: Central Bank official rediscount rate; from 4 Jun 1986 to 30 Jun 1996: official market intervention rate, representative rate.","From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",From 13 June 2019 onwards SNB Policy rate; From 1 Jan 2000 to 12 June 2019 mid-point of the SNB target range; from 1 Jan 1946 to 31 Dec 1999: discount rate.,From 1997 onwards: official monetary policy rate.,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,1 day repo rate.,Offficial 2 week repo rate.,From 1 April 1992 onwards: interest rate of the certificates of deposits; from  2 Jan 1979 to 31 Mar 1992: official discount rate; from 1 Jan 1946 to 1 Jan 1979: discount rate.,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,Official base rate.,From 2 Sep 2002 onwards: interest rate on money market interbank deposits; from 4 Jan 1993 to 1 Sep 2002: interest rate on money market interbank loans. ,Official base rate.,From 19 Aug 2016 onwards: 7 day reverse repo rate; from 5 Jul 2005 to 18 Aug 2016: official base rate (BI rate).,Offical central bank rate.,From 3 Apr 2001 onwards: official repo overnight rate; from 1 Jan 1946 to 2 Apr 2001: oank rate.,From 21 May 2014 onwards: Central Bank term deposit rate; from Sep 2009 to 20 May 2014: average of the current account rate and the maximum rate on 28-day certificates of deposits; from 1 Apr 2009 to Sept 2009: current account rate; from 2 Mar 1998 to 31 Mar 2009: 7 day collateralised lending rate.,From 21Sep2016 BOJ guideline for market operat. specifies a short-term policy int. rate at minus 0.1% and a target level of 10-year JGB yields at around 0%. Figures show the short-term poli.int.rate;4Apr2013-20Sep2016:no pol.rate avail.;5Oct2010-3Apr2013: uncollateralized overnight call rate (uncoll.ON CR.)to remain at around 0-0.1%; 19Dec2008-4Oct2010:uncoll.ON CR.)to remain at around 0.1%; 31Oct2008-18Dec2008:uncoll.ON CR.to remain at around 0.3%; 21Feb2007-30Oct2008:uncoll. ON CR.to remain at around 0.5%; 14Jul2006-20Feb2007:uncoll.ON CR.to remain at around 0.25%; 9 Mar2006-13Jul2006:uncoll.ON CR.to remain at effectively zero %; 19Mar2001-8 Mar2006: no policy rate avail.;28Feb2001-18 Mar2001: uncoll.ON CR.to move on ave. around 0.15%; 11Aug2000-27Feb2001:uncoll ON CR. to move on ave.around 0.25%; 12Feb1999-10Aug2000: no quantit. target applied; uncoll.ON CR. to move as low as possible; 9Sep1998-11Feb1999: uncoll.ON CR. to move on ave. around 0.25%;1Jan1970-8Sep1998: offic discount rate; 1Jan1946-31 Dec1969: official discount rate. ,From 7 Mar 2008 onwards: Bank of Korea base rate; from 6 May 1999 to 6 Mar 2008: target overnight call rate(base rate). ,Official policy rate.,"From 21 Jan 2008 onwards: Central Bank target, money-market overnight rate; from 3 Nov 1998 to 20 Jan 2008: bank funding rate.",From 26 Apr 2004 onwards: overnight policy rate; from 1 Jan 1998 to 25 Apr 2004: 3 month intervention rate; from 3 Nov 1995 to 31 Dec 1997: 3 month interbank rate.,From 11 Jun 1993 onwards: official deposit facility rate; from 3 Mar 1986 to 10 Jun 1993 official credit facility rate.,"From 17 Mar 1999 onwards: Official market intervention representative rate, official cash rate; from Jan 1985 to 16 Mar 1999: overnight cash rate.",Official monetary policy rate.,"From Jan 1986 onwards: Official market intervention representative rate, liquidity providing.",From 26 Feb 1998 onwards: official 7 day central bank bill yield; from 1 Jan 1993 to 25 Feb 1998: Lombard rate.,Official policy rate.,From 1 Sept 2006 onwards: Central Bank policy rate; from 1 Jan 1997 to 31 Aug 2006: Central Bank discount rate.,From 13 Sept 2013 onwards: official key rate; from 1 Jan 1992 to 12 Sep 2013: official refinancing rate.,From 1 Jan 2000 onwards: official market repo rate.,From 1 Jun 1994 onwards: Central Bank fixed repo/reversed repo rate; from 30 Jan 1987 to 31 May 1994: marginal rate; from 1 Jan 1946 to 29 Jan 1987: discount rate. ,"Offical market intervention representative rate, liquidity providing repo rate.",From 20 May 2010 onwards: 1 week official repo rate; from 20 Feb 2002 to 19 May 2010: Central Bank overnight borrowing rate.,From 19 Dec 1985 onwards: mid-point of the Federal Reserve target rate; from 1 Jul 1954 to 18 Dec 1985: US Fed Funds effective rate.,"From 15 Oct 2008 onwards: official central bank liquidity providing, main refinancing operations, fixed rate; from 28 Jun 2000 to 14 Oct 2008: official central bank liquidity providing, main refinancing operations, minimum bid rate; from 5 Jan 1999 to 27 Jun 2000: official central bank liquidity providing, main refinancing operations, fixed rate.",Official repo rate.
Decimals,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four,4:Four
Publication Source,Central Bank of Argentina,Reserve Bank of Australia,Central Bank of Brazil,Bank of Canada,Swiss National Bank,Central Bank of Chile,People's Bank of China,Central Bank of Colombia,Czech National Bank,Danmarks Nationalbank,Bank of England,Hong Kong Monetary Authority,Croatian National Bank,Hungarian National Bank,Bank Indonesia,Bank of Israel,Reserve Bank of India,Central Bank of Iceland,Bank of Japan,Bank of Korea,National Bank of the Republic of Macedonia,Bank of Mexico,Bank Negara Malaysia ,Norges Bank,Reserve Bank of New Zealand,Central Reserve Bank of Peru,Bangko Sentral ng Pilipinas ,National Bank of Poland,National Bank of Romania ,National Bank of Serbia,Bank of Russia,Saudi Arabian Monetary Authority,Sveriges Riksbank,Bank of Thailand,Central Bank of the Republic of Turkey,US Federal Reserve System,European Central Bank,South African Reserve Bank
Supplemental information and breaks,"This rate can be considered the official policy rate as from 15 Dec 2015. Prior to that, the monetary policy was not articulated around interest rate. ","This rate can be considered the official policy rate as from 23 Jan 1990. Australia had a managed exchange rate regime prior to 1983, in an environment of capital controls. The RBA did not have an explicit target interest rate prior to 23 Jan 1990. The BIS publishes a representative rate for that period. Between  23 Jan 1990 and 31 Jul the middle of the cash rate target corridor is used.","This rate can be considered the official policy rate as from 5 Mar 1999. From Jul 1996 to 4 Mar 1999, the TBC rate (basic interest rate) was used; from Mar 1999 onwards, the TARGET for the SELIC rate was used, which defines a threshold for the open market operations. The SELIC rate is a daily interest rate for overnight interbank loans collateralised by government bonds (overnight federal funds) registered and traded at the SELIC (Sistema Especial de Liquida?o e Custdia - Special System for Settlement and Custody).","In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.",,"Monetary policy was nominalized as from 9 Aug 2001, and the monetary policy interest rate was initially set at an annual 6.5%. Before that date, the monetary policy rate was defined in terms of a commonly used unit of account, indexed to one-month-lagged CPI.",,"Prior to the adoption of the inflation targeting framework, there was no an explicit policy rate, but a system of monetary targeting with bands  for interest rates and the exchange rate.","The 2 week repo rate can be considered the official policy rate as from 1998, when the CNB switched to an inflation targeting framework. Before 1998, the policy regime as well as monetary policy implementation were different, and the 2 week repo rate is thus just an approximation of the policy stance in that period.",,,,As from 2 Sep 2002: the volume-weighted avg realized interest rate on interbank unbrokered domestic currency overnight loans between credit institutions in Croatia. From 22 Feb 1996 to 1 Sep 2002: the volume-weighted daily avg. interest rate on domestic currency overnight loans (not exclusively interbank) brokered by Money Market Zagreb (private financial auxiliary). Prior to 22 Feb 1996: unweighted in interest rates on interbank money market according to information published by the Zagreb money market.,As from 23 Sep  2015: 3 month MNB deposit rate. From 1 Aug 2014 to 22 Sep  2015: the 2 week MNB deposit rate. From 10 Jan 2007 to 31 Jul 2014: the 2 week MNB bil rate. Prior to 10 Jan 2007: the 2 week MNB deposit rate. ,"The rate shift from 6.5% to 5.25% on 19 Aug 2016 does not represent a cut in the policy rate (i.e. loosened monetary policy). On this date, Bank Indonesia (BI) changed the policy rate from BI rate to the BI-7 day reverse repo rate. The BI rate is the weighted average of the 12 month rate of monetary operation instruments auctioned in the market. The BI-7 day reverse repo rate has a stronger relationship with the short term money market rate.",,This rate can be considered the official policy rate as from 2001. The Reserve Bank of India (RBI) did not have a single policy rate prior to 2001. ,,For details see: http://www.bis.org/statistics/cbpol/cbpol_doc.pdf; http://www.boj.or.jp/en/announcements/release_1998/k980909c.htm/ http://www.boj.or.jp/en/announcements/release_1999/k990212c.htm/ http://www.boj.or.jp/en/announcements/release_2000/k000811.htm/ http://www.boj.or.jp/en/announcements/release_2001/k010228a.htm/  http://www.boj.or.jp/en/announcements/release_2006/k060309.htm/ http://www.boj.or.jp/en/announcements/release_2006/k060714.pdf http://www.boj.or.jp/en/announcements/release_2007/k070221.pdf  http://www.boj.or.jp/en/announcements/release_2008/k081031.pdf  http://www.boj.or.jp/en/announcements/release_2008/k081219.pdf http://www.boj.or.jp/en/announcements/release_2010/k101005.pdf; http://www.boj.or.jp/en/announcements/release_2016/k160921a.pdf,The Bank of Korea base rate has been changed from the overnight call rate to 7 day repurchase agreements rate since Feb 2008.,,"As from 21 Jan 2008, the central bank target rate is used, which can be considered the official policy rate. From 3 Nov 1998 until 20 Jan 2008: the bank funding rate. ",,,This rate can be considered the official policy rate as from 17 Mar 1999. ,,,"This rate can be considered the official policy rate as from 26 Feb 1998 onwards. Prior to that, monetary policy was based on money supply control, not on targeting the interest rate. The Lombard rate was the reference rate for the interbank market, but the open market operations yield resulted from tenders. From 26 Feb 1998 onwards: 7 day central bank bill yield; 1 Jan 1993 until 25 Feb 1998: Lombard rate.",,,,,,From 17 Jan 2007 onwards: 1 day repo rate; prior to that: 14 day repo rate. ,This rate can be considered the official policy rate as from 20 May 2010.  http://www.tcmb.gov.tr/wps/wcm/connect/en/tcmb+en/main+menu/announcements/press+releases/2018/ano2018-21,,,
Title, Central bank policy rates - Argentina - Daily - End of period, Central bank policy rates - Australia - Daily - End of period, Central bank policy rates - Brazil - Daily - End of period, Central bank policy rates - Canada - Daily - End of period, Central bank policy rates - Switzerland - Daily - End of period, Central bank policy rates - Chile - Daily - End of period, Central bank policy rates - China - Daily - End of period, Central bank policy rates - Colombia - Daily - End of period, Central bank policy rates - Czechia - Daily - End of period, Central bank policy rates - Denmark - Daily - End of period, Central bank policy rates - United Kingdom - Daily - End of period, Central bank policy rates - Hong Kong SAR - Daily - End of period, Central bank policy rates - Croatia - Daily - End of period, Central bank policy rates - Hungary - Daily - End of period, Central bank policy rates - Indonesia - Daily - End of period, Central bank policy rates - Israel - Daily - End of period, Central bank policy rates - India - Daily - End of period, Central bank policy rates - Iceland - Daily - End of period, Central bank policy rates - Japan - Daily - End of period, Central bank policy rates - Korea - Daily - End of period, Central bank policy rates - North Macedonia - Daily - End of period, Central bank policy rates - Mexico - Daily - End of period, Central bank policy rates - Malaysia - Daily - End of period, Central bank policy rates - Norway - Daily - End of period, Central bank policy rates - New Zealand - Daily - End of period, Central bank policy rates - Peru - Daily - End of period, Central bank policy rates - Philippines - Daily - End of period, Central bank policy rates - Poland - Daily - End of period, Central bank policy rates - Romania - Daily - End of period, Central bank policy rates - Serbia - Daily - End of period, Central bank policy rates - Russia - Daily - End of period, Central bank policy rates - Saudi Arabia - Daily - End of period, Central bank policy rates - Sweden - Daily - End of period, Central bank policy rates - Thailand - Daily - End of period, Central bank policy rates - Turkey - Daily - End of period, Central bank policy rates - United States - Daily - End of period, Central bank policy rates - Euro area - Daily - End of period, Central bank policy rates - South Africa - Daily - End of period
Time Period,D:AR,D:AU,D:BR,D:CA,D:CH,D:CL,D:CN,D:CO,D:CZ,D:DK,D:GB,D:HK,D:HR,D:HU,D:ID,D:IL,D:IN,D:IS,D:JP,D:KR,D:MK,D:MX,D:MY,D:NO,D:NZ,D:PE,D:PH,D:PL,D:RO,D:RS,D:RU,D:SA,D:SE,D:TH,D:TR,D:US,D:XM,D:ZA
1/1/1946,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,,,,,,
1/2/1946,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
